,Employee_Name,Employee_Id,Project_Id,Start_Date,End_Date,Allocated_Days,Completed_In_Days,Login_Time,Logout_Time,isOnTime,Joining_Date,Appraisal_Cycles,YearsInCompany,Complaints_received,average_monthly_hours,Behavior
619,Francis Abdul,619,5648,2007-01-09,2008-09-08,604,608,8:54,8:53,0,2006-10-20,5,14,8,141,Bad
620,Elizabeth Quigley,620,1793,2001-05-03,2006-04-10,1807,1803,10:40,8:26,1,2000-07-17,10,20,2,268,Good
621,John Lebovic,621,1672,2012-09-13,2015-02-04,867,874,9:19,8:21,0,2012-05-22,0,9,10,247,Bad
622,Timothy Beard,622,3815,2001-08-17,2012-06-26,3971,3966,8:57,7:25,0,2001-03-26,3,20,7,247,Average
623,Joshua Maleski,623,3942,2006-09-18,2006-12-06,75,79,9:28,8:50,0,2006-02-12,2,15,7,146,Bad
624,Jake Lampe,624,2119,2007-07-17,2008-06-29,350,348,8:9,8:43,1,2007-05-26,4,14,2,140,Average
625,Jon Landry,625,1910,2005-07-25,2020-12-03,5604,5610,9:43,8:19,1,2004-09-01,11,16,2,263,Good
626,Clayton Gilliam,626,4658,2008-12-21,2014-12-06,2185,2176,9:48,7:35,0,2008-08-08,11,12,2,145,Average
627,Karen Schoppert,627,1335,2009-09-27,2013-05-31,1335,1342,9:7,7:57,1,2009-06-18,9,11,3,156,Average
628,Herbert Harms,628,8705,2013-07-04,2020-12-30,2738,2736,8:24,8:31,1,2013-04-24,4,8,1,244,Excellent
629,George Ledoux,629,3575,2014-03-15,2015-07-22,493,494,9:19,8:44,1,2013-10-23,1,7,6,144,Average
630,Elizabeth Hearn,630,5933,2002-05-23,2006-08-26,1559,1556,8:29,8:16,0,2001-11-30,6,19,8,286,Average
631,Maria Permenter,631,5330,2005-05-15,2019-03-22,5054,5059,10:41,7:55,1,2005-01-19,1,16,6,141,Below Average
632,Sylvia Allen,632,2238,2010-08-11,2019-07-09,3254,3254,8:19,8:50,1,2009-12-04,4,11,2,260,Good
633,Lance Mayfield,633,6028,2007-01-09,2013-02-10,2223,2224,10:6,7:20,1,2006-02-01,8,15,4,154,Average
634,Louise Hummel,634,5780,2007-06-29,2011-03-07,1349,1347,9:11,8:2,1,2007-01-11,7,14,2,225,Good
635,Carmen Crafter,635,7455,2013-09-30,2014-06-04,242,247,9:58,8:10,0,2013-05-27,2,8,8,127,Bad
636,Timothy Foster,636,4210,2002-08-22,2006-12-23,1592,1584,10:50,7:40,1,2002-03-05,14,19,1,140,Average
637,Jason Dalton,637,2983,2009-03-04,2011-04-04,759,761,10:6,8:49,0,2008-03-12,7,13,8,147,Bad
638,Clint Starnes,638,6879,2016-01-10,2021-04-24,1931,1931,10:17,7:24,1,2015-09-18,2,5,0,227,Excellent
639,Miquel Fowler,639,4841,2015-04-18,2016-07-17,450,456,10:43,8:10,0,2015-03-24,1,6,5,153,Below Average
640,Sharonda Lopez,640,9090,2017-09-28,2018-02-06,131,131,10:35,7:53,1,2017-05-28,0,4,0,128,Good
641,Amy Muse,641,1243,2005-05-23,2013-07-04,2962,2964,10:59,7:44,1,2005-01-06,3,16,6,228,Good
642,Rosa Warren,642,2478,2014-11-27,2018-09-11,1392,1384,8:46,8:10,0,2014-02-23,1,7,7,235,Average
643,Gregory Wolfgram,643,8990,2009-11-24,2017-02-07,2627,2632,9:20,7:35,1,2009-06-06,3,11,4,148,Below Average
644,Richard Meehan,644,8933,2012-12-02,2019-05-18,2359,2358,10:59,8:12,0,2012-01-17,7,9,3,238,Good
645,Edith Epps,645,9951,2018-03-02,2018-12-17,284,290,9:3,8:19,1,2017-07-19,0,3,0,141,Average
646,Florencio Gilmore,646,2263,2008-02-21,2014-04-17,2247,2247,8:57,7:7,1,2007-10-16,8,13,1,249,Excellent
647,Eileen Prince,647,6490,2010-12-19,2012-01-27,395,404,10:30,7:6,1,2010-03-24,8,11,2,151,Average
648,Patricia Shriver,648,2024,2018-05-09,2018-08-14,100,97,9:12,8:2,0,2017-06-26,2,3,3,129,Average
649,Kevin Garcia,649,8658,2018-03-11,2019-01-07,294,302,10:57,7:43,0,2017-12-24,0,3,4,156,Bad
650,Gail Adams,650,3343,2009-04-21,2017-08-15,3045,3038,8:29,7:13,1,2008-05-25,1,13,3,134,Average
651,Bob Potvin,651,2125,2012-02-17,2013-02-05,347,354,10:59,7:48,0,2011-06-18,5,9,6,269,Good
652,Douglas Reed,652,7122,2012-02-21,2018-03-09,2208,2208,9:22,8:28,1,2012-01-20,4,9,0,290,Excellent
653,Steven Flanagan,653,4112,2014-07-24,2015-11-26,487,490,8:53,8:51,0,2013-08-25,5,7,2,132,Average
654,Mabel Hall,654,2268,2001-05-26,2002-09-15,483,477,9:36,8:19,0,2001-03-04,19,20,2,308,Good
655,Martin Farrow,655,9661,2002-12-18,2020-12-25,6575,6582,9:50,7:58,0,2002-07-30,2,18,9,232,Below Average
656,Jerry Cuevas,656,6233,2004-12-15,2016-02-07,4076,4071,8:57,7:21,1,2004-06-22,10,16,3,235,Good
657,Karen Long,657,6200,2011-05-14,2014-12-28,1315,1324,10:8,7:1,0,2010-11-01,6,10,4,130,Below Average
658,Debbie Mandel,658,4236,2016-09-07,2017-05-11,255,246,9:36,7:18,0,2016-05-15,1,5,2,146,Average
659,Melissa Richmond,659,6087,2007-06-04,2018-01-20,3881,3883,10:21,7:53,0,2006-11-06,2,14,7,221,Good
660,Wayne Jones,660,3366,2014-12-18,2018-10-09,1399,1391,10:5,8:7,1,2014-04-25,2,7,1,130,Average
661,Edward Spadoni,661,5130,2008-11-28,2019-01-12,3694,3697,10:26,7:21,0,2008-07-11,5,12,7,136,Bad
662,Rhonda Lowe,662,9854,2011-08-29,2021-02-25,3470,3468,9:56,7:15,0,2011-03-26,2,10,8,274,Average
663,Cythia Luu,663,7925,2002-05-11,2011-12-24,3513,3514,8:17,8:37,0,2002-03-24,17,19,3,256,Good
664,Cythia Grayson,664,5477,2009-12-24,2019-07-02,3477,3477,9:2,8:32,1,2009-08-30,8,11,0,276,Excellent
665,Leah Fouts,665,5427,2011-05-18,2020-07-04,3329,3335,9:41,8:53,1,2010-06-13,6,10,0,267,Excellent
666,Rod Hooks,666,8796,2015-02-14,2016-10-20,615,614,10:24,8:9,1,2014-04-17,0,7,2,213,Good
667,Victor Enriquez,667,3073,2012-04-04,2015-11-09,1306,1314,9:54,7:30,0,2011-12-24,4,9,7,274,Good
668,Ebony Carroll,668,5827,2002-07-04,2012-06-25,3650,3644,9:36,8:6,1,2002-05-06,11,19,3,258,Good
669,Luis Sowinski,669,8200,2013-03-17,2019-09-12,2361,2370,10:21,7:51,1,2012-06-16,4,8,2,153,Average
670,Dona Bean,670,1651,2015-08-12,2020-01-10,1620,1612,10:22,8:58,1,2015-08-05,0,5,0,245,Excellent
671,Thomas Val,671,9133,2004-03-02,2009-02-01,1796,1797,9:8,8:27,0,2003-07-13,11,17,7,264,Good
672,Tonya Jimenez,672,8610,2011-04-13,2018-12-08,2800,2796,9:53,7:34,1,2010-08-07,3,10,3,154,Average
673,Cecil Cleveland,673,8617,2016-10-10,2020-08-24,1413,1414,10:39,8:33,1,2016-08-19,2,4,1,149,Good
674,Ernest Stade,674,4422,2018-01-01,2019-06-30,548,545,10:24,7:56,0,2017-02-03,0,4,2,157,Average
675,Jean Bailey,675,1456,2017-11-11,2019-07-23,618,619,9:13,7:40,1,2017-08-08,2,3,0,127,Good
676,Diann Eady,676,7630,2017-11-18,2020-12-20,1132,1128,10:30,7:58,1,2017-10-09,1,3,1,270,Excellent
677,James Pryor,677,8966,2016-12-15,2019-09-14,998,1003,9:27,8:9,1,2016-07-31,0,4,0,236,Excellent
678,Daniel Oldham,678,6068,2017-09-22,2018-12-23,460,457,9:1,8:4,1,2017-05-26,1,4,0,158,Good
679,Carolyn Dean,679,6370,2013-09-17,2019-08-04,2143,2147,9:39,7:17,0,2013-01-20,4,8,2,229,Good
680,Ronald Petrus,680,5409,2009-07-22,2010-04-10,265,262,10:4,8:26,0,2009-02-13,1,12,7,269,Average
681,Jerry Bartelt,681,8961,2008-12-01,2016-08-04,2796,2803,8:3,7:31,0,2008-03-31,7,13,10,128,Bad
682,Louetta Hisey,682,1958,2005-04-30,2009-06-04,1505,1496,9:56,8:50,0,2004-07-08,3,16,8,278,Average
683,Latoya Dowell,683,7510,2007-01-13,2015-06-02,3056,3062,9:58,7:55,0,2006-09-19,7,14,8,158,Bad
684,Christie Wallace,684,9270,2003-06-24,2020-04-29,6156,6154,8:14,8:28,0,2003-02-22,14,18,2,202,Good
685,Suzanne Delbosque,685,7649,2013-07-19,2021-03-26,2798,2807,10:1,7:48,1,2013-02-27,1,8,8,240,Average
686,Sherry Williams,686,2097,2014-01-23,2018-01-18,1456,1456,8:35,8:19,1,2013-02-14,0,8,3,255,Good
687,Edward Goodwin,687,4055,2015-06-23,2020-09-20,1909,1916,9:48,7:0,0,2015-01-15,4,6,6,254,Good
688,Kirk Ruiz,688,3142,2003-03-29,2010-11-20,2795,2793,9:51,8:46,0,2002-07-05,14,18,2,257,Good
689,Gladys Dickens,689,9935,2017-01-17,2018-01-18,364,366,9:29,7:41,1,2016-06-30,0,4,1,228,Excellent
690,Demetrius Lardizabal,690,8543,2012-08-16,2014-04-03,599,595,8:10,8:26,1,2011-11-26,3,9,2,145,Average
691,Guadalupe Camfield,691,3826,2002-09-18,2014-02-14,4159,4167,10:23,8:51,1,2002-07-16,3,18,8,218,Below Average
692,Lisa Sowers,692,6842,2008-08-12,2019-11-24,4124,4121,10:40,8:17,1,2007-12-13,7,13,2,268,Good
693,Rachel Kearns,693,9347,2012-10-10,2017-01-21,1559,1564,9:48,8:33,1,2012-04-15,4,9,2,278,Good
694,Joseph Heredia,694,1350,2016-09-11,2018-02-28,536,535,10:3,7:53,0,2016-01-05,4,5,3,249,Good
695,Joseph Miller,695,6341,2010-07-31,2017-04-08,2435,2443,8:0,8:4,1,2009-12-01,0,11,7,236,Average
696,Chad Reed,696,9022,2008-08-26,2010-11-23,823,819,9:59,8:38,0,2007-12-25,9,13,3,291,Good
697,Douglas Patton,697,5645,2014-07-01,2016-10-05,821,827,8:18,7:12,0,2013-09-10,4,7,2,306,Good
698,Calvin Terrell,698,6656,2001-12-28,2004-07-02,919,917,10:13,7:24,0,2001-01-03,16,20,2,135,Average
699,Margarita Nave,699,2112,2002-01-08,2002-05-06,115,118,8:1,8:27,0,2001-06-05,15,19,3,156,Average
700,Stephanie Stallings,700,4841,2013-01-07,2018-02-06,1857,1856,9:31,7:59,0,2012-09-04,2,8,7,143,Bad
701,Jeffrey Smith,701,4445,2015-09-14,2018-04-06,930,935,8:55,7:27,0,2015-07-01,4,5,2,243,Good
702,Ron Viator,702,9193,2002-08-28,2012-07-29,3624,3623,9:7,8:38,1,2002-05-01,9,19,2,147,Average
703,Louise Norton,703,7978,2002-01-03,2010-10-26,3212,3218,9:4,7:39,1,2002-01-01,9,19,4,159,Below Average
704,Phyllis Braunstein,704,2848,2009-07-27,2020-05-11,3947,3941,8:25,8:39,1,2009-01-18,9,12,1,216,Excellent
705,Harold Brown,705,5195,2010-07-11,2019-10-27,3390,3395,8:55,8:19,0,2009-11-15,7,11,2,152,Average
706,Mario Moran,706,9700,2004-03-06,2012-01-03,2866,2859,10:15,8:1,0,2003-04-28,2,18,7,226,Average
707,Nancy Foster,707,2659,2007-02-26,2010-10-19,1324,1331,10:54,7:45,0,2006-05-04,6,15,10,271,Below Average
708,Ruth Peters,708,8998,2007-07-22,2013-12-16,2340,2339,9:59,7:34,1,2007-05-26,2,14,3,255,Good
709,Becky Cline,709,4268,2018-07-21,2019-09-06,409,412,9:47,8:5,0,2017-12-28,1,3,2,140,Average
710,Larry Williams,710,9645,2009-06-03,2015-08-11,2267,2260,9:6,8:13,0,2008-08-23,9,12,2,252,Good
711,Shawn Binkley,711,9935,2018-12-06,2018-12-19,5,13,9:27,8:8,1,2017-12-24,0,3,3,159,Average
712,Catherine Caruthers,712,8256,2001-10-10,2016-06-11,5366,5358,10:0,8:11,0,2000-11-05,12,20,8,270,Average
713,Violet White,713,4793,2017-01-06,2020-01-27,1115,1116,9:51,7:52,1,2016-11-13,1,4,0,232,Excellent
714,Christopher Peterson,714,5575,2016-12-06,2020-05-09,1253,1250,10:0,7:55,1,2016-10-11,0,4,1,144,Good
715,Kurt Drew,715,2809,2009-06-05,2016-01-01,2401,2401,8:51,7:36,0,2008-08-04,1,12,8,127,Bad
716,Jacob Lea,716,1687,2005-11-24,2010-08-31,1741,1741,9:14,7:9,1,2005-08-10,0,15,3,131,Average
717,James Frascone,717,3486,2010-09-01,2012-02-11,522,528,9:5,7:15,0,2009-12-16,10,11,2,243,Good
718,Willie Perez,718,7519,2001-07-31,2007-01-17,1998,1996,9:34,7:29,0,2000-11-03,14,20,8,244,Average
719,Jonathon Carlucci,719,2923,2006-04-21,2015-12-05,3514,3515,9:38,7:17,0,2005-07-17,0,15,8,260,Good
720,Eddie Cough,720,3475,2011-12-16,2019-03-24,2663,2655,8:38,7:20,1,2011-12-12,1,9,2,139,Average
721,Louise Pope,721,5157,2014-06-12,2020-12-29,2390,2392,8:16,8:8,1,2013-07-16,5,7,0,184,Excellent
722,Dennis Deangelo,722,7028,2003-04-21,2021-01-17,6482,6481,8:3,8:52,0,2003-03-09,1,18,8,130,Bad
723,Jean Williams,723,1648,2002-07-29,2015-07-13,4729,4732,10:20,7:22,1,2001-11-21,11,19,4,135,Average
724,Bernice Perkins,724,8685,2003-07-29,2007-09-02,1497,1496,9:37,7:8,1,2002-08-04,15,18,0,146,Good
725,Todd Gaskins,725,9586,2018-06-25,2021-02-01,945,952,8:1,7:0,1,2017-08-01,1,3,3,149,Average
726,Louise Weibe,726,5874,2012-07-09,2013-07-08,364,364,8:1,7:55,1,2012-02-03,8,9,0,153,Good
727,Geraldine Bax,727,4975,2009-03-16,2013-03-29,1471,1474,8:10,8:13,1,2008-04-23,10,13,1,160,Good
728,Eric Lim,728,8676,2009-05-27,2017-08-22,3018,3009,10:13,8:37,1,2008-06-19,0,12,3,160,Average
729,Christopher Lowery,729,8404,2006-09-28,2014-02-22,2702,2704,9:15,8:43,1,2006-04-24,0,15,5,282,Good
730,Cindy Burris,730,4965,2017-03-23,2019-02-21,706,700,8:30,7:11,0,2016-09-21,0,4,3,128,Average
731,Ronald Pace,731,6003,2014-09-24,2016-03-16,535,539,8:36,8:15,1,2013-12-14,0,7,5,232,Good
732,Lowell Westra,732,7956,2008-04-25,2015-01-28,2469,2469,9:48,7:51,1,2008-02-27,7,13,3,226,Good
733,Leslie Fenner,733,8802,2012-05-25,2014-10-25,874,883,10:21,8:12,0,2012-02-17,4,9,7,129,Below Average
734,Elaine Carpenter,734,9675,2011-07-11,2012-08-26,412,412,10:4,7:6,1,2011-02-20,6,10,0,255,Excellent
735,Jill Morris,735,5948,2006-08-16,2020-09-05,5126,5134,9:35,7:56,1,2006-04-09,13,15,3,258,Good
736,Elliot Casares,736,6452,2002-10-03,2016-10-14,5128,5125,8:47,7:11,0,2002-06-17,10,18,7,229,Average
737,Barbara Palazzi,737,7602,2010-04-18,2012-08-29,858,864,10:25,7:39,1,2009-07-05,10,11,1,143,Average
738,Sandra Labadie,738,9783,2014-06-28,2014-12-04,160,159,10:41,8:23,0,2014-04-10,4,7,3,257,Good
739,Tanya Hill,739,2588,2004-07-31,2015-01-06,3803,3811,10:23,8:38,1,2004-02-05,1,17,8,275,Average
740,Eula Root,740,2677,2014-05-01,2015-09-18,512,505,9:16,7:48,1,2013-12-10,2,7,1,291,Excellent
741,Jamie Charbonneau,741,6300,2004-04-22,2008-09-22,1613,1614,10:24,7:50,1,2003-10-07,10,17,6,153,Average
742,Thea Locke,742,3690,2012-09-02,2015-07-17,1053,1048,10:20,7:0,1,2011-09-26,7,9,1,154,Good
743,Ernesto Wetherell,743,5790,2018-06-03,2019-09-05,458,459,8:56,7:14,1,2017-09-24,2,3,0,301,Excellent
744,Leo Butner,744,8674,2012-06-01,2019-08-12,2630,2628,9:43,8:38,0,2011-07-06,0,9,8,134,Bad
745,Heather Johnson,745,9136,2018-12-26,2020-04-27,480,488,8:6,7:38,0,2018-06-07,1,2,4,245,Average
746,Otis Taveras,746,9472,2014-01-31,2021-03-13,2601,2598,10:19,8:45,1,2014-01-30,5,7,0,132,Good
747,Brian Burnette,747,7397,2003-08-25,2014-08-10,4003,4003,10:11,8:34,0,2002-11-09,15,18,3,130,Average
748,Brian Homer,748,9815,2001-04-01,2009-06-07,2989,2989,9:32,7:6,0,2000-05-01,17,21,2,127,Average
749,Mattie Prado,749,4857,2003-05-06,2018-06-20,5515,5524,9:54,8:11,0,2003-04-25,1,18,10,246,Below Average
750,Charles Stanton,750,7679,2011-05-17,2018-05-07,2555,2547,8:45,8:20,0,2010-10-02,7,10,2,145,Average
751,Jenny English,751,1067,2013-11-16,2018-10-13,1789,1792,8:59,7:28,0,2013-09-27,3,7,2,138,Average
752,Danielle Ogle,752,3611,2015-02-01,2018-12-20,1419,1418,9:15,8:38,0,2015-01-18,1,6,2,129,Average
753,Tracy Barker,753,8292,2004-06-17,2004-09-26,99,101,8:5,8:0,0,2003-08-22,3,17,8,150,Bad
754,Derek Rodriguez,754,1993,2012-01-21,2016-02-25,1498,1496,8:4,7:27,1,2011-05-22,2,10,2,253,Good
755,Fannie Bouley,755,2247,2001-12-19,2019-07-20,6416,6422,9:53,8:32,1,2001-05-23,1,20,5,160,Below Average
756,Melvin Luker,756,7090,2014-05-31,2021-04-28,2533,2524,10:21,7:26,1,2013-06-12,1,7,3,235,Good
757,Jodi Johnson,757,8758,2008-09-17,2020-06-07,4279,4281,10:53,8:2,1,2007-10-02,11,13,0,151,Good
758,Steven Sjolander,758,2395,2013-09-18,2015-08-26,711,707,10:21,7:21,0,2013-02-06,0,8,8,127,Bad
759,Donna Hess,759,3743,2002-09-06,2018-08-05,5809,5812,10:36,7:50,0,2002-03-01,1,19,8,151,Bad
760,William Lupo,760,7969,2007-07-12,2018-02-01,3864,3857,10:12,7:10,1,2006-10-13,11,14,0,290,Excellent
761,Sue Gracey,761,9169,2011-02-28,2012-04-15,411,412,10:53,8:7,1,2010-04-30,2,11,4,249,Good
762,Barbara Youssefi,762,7603,2016-10-04,2019-02-21,873,870,10:57,7:36,0,2016-10-02,2,4,3,131,Average
763,Amber Rocha,763,8339,2012-09-28,2020-10-05,2920,2929,10:58,7:17,1,2011-10-06,8,9,3,159,Average
764,Rachel Krull,764,2392,2015-03-26,2020-01-14,1756,1755,10:47,7:17,0,2014-09-19,0,6,8,223,Below Average
765,Vickie Franks,765,6172,2001-05-06,2005-09-12,1583,1590,9:14,8:36,0,2000-07-21,16,20,5,214,Average
766,Felipe Westover,766,7128,2013-03-17,2013-09-27,202,194,10:21,7:21,0,2012-12-12,1,8,8,227,Average
767,Catherine Considine,767,1778,2001-05-01,2017-10-14,6004,6010,10:22,7:59,1,2000-12-11,1,20,4,127,Below Average
768,Angela Ritter,768,2698,2012-10-10,2017-11-04,1858,1851,10:20,8:58,0,2011-10-28,2,9,7,293,Average
769,Walter Gil,769,5028,2017-10-24,2020-10-21,1089,1093,10:26,7:29,1,2017-05-03,3,4,1,141,Average
770,James Cam,770,7844,2010-11-11,2011-06-16,219,217,10:50,7:23,0,2010-03-26,8,11,3,300,Good
771,Clyde Degregorio,771,5138,2004-11-25,2015-08-22,3922,3922,9:19,8:0,1,2004-02-27,14,17,1,309,Excellent
772,Tina Roberts,772,2509,2010-02-06,2010-05-11,94,94,9:7,8:7,0,2009-06-06,8,11,2,149,Average
773,James Nelson,773,3584,2007-02-11,2019-09-22,4598,4606,10:9,8:46,1,2006-09-05,7,14,8,159,Bad
774,Ashley Gaither,774,2462,2015-10-05,2020-04-13,1653,1652,10:54,8:41,1,2015-06-11,2,5,0,152,Good
775,James Dupree,775,3678,2005-02-19,2018-09-11,4944,4952,9:14,7:4,1,2004-02-27,6,17,7,158,Bad
776,Daniel Dingee,776,5285,2007-08-23,2008-11-17,458,452,10:22,8:41,0,2006-12-01,5,14,7,254,Average
777,Robert Rangel,777,3049,2013-01-22,2019-12-23,2523,2526,9:42,7:22,1,2012-05-25,6,9,1,294,Excellent
778,Lawrence Pemberton,778,2898,2011-08-10,2018-08-19,2574,2566,8:40,7:20,1,2011-04-03,8,10,0,269,Excellent
779,Phillip Marsh,779,1605,2014-06-16,2015-01-15,206,213,10:35,7:45,1,2013-09-22,6,7,3,247,Good
780,Tom Leblanc,780,5559,2006-07-07,2007-08-13,407,402,8:32,8:45,0,2006-04-25,11,15,2,271,Good
781,Richard Oneal,781,9963,2018-09-22,2019-04-22,203,212,10:41,7:54,1,2018-03-21,1,3,2,232,Good
782,Cleo Flores,782,7408,2015-05-17,2018-06-28,1144,1138,10:49,8:9,1,2014-11-04,1,6,1,245,Excellent
783,Michael King,783,1087,2003-06-15,2011-06-08,2909,2915,8:49,8:4,0,2003-01-15,10,18,8,132,Bad
784,Luis Gray,784,1225,2016-04-12,2021-03-27,1817,1810,10:9,8:20,0,2015-12-12,4,5,3,131,Average
785,Nelda Byrd,785,1262,2015-11-07,2020-01-03,1513,1518,9:27,8:6,1,2015-05-29,3,6,1,248,Excellent
786,Loretta Mcquirk,786,9726,2014-12-22,2016-05-14,515,509,10:31,8:18,0,2014-02-12,0,7,7,225,Average
787,Vivian King,787,8825,2013-11-16,2015-10-16,693,699,10:39,7:11,1,2013-10-21,0,7,4,156,Below Average
788,Alice South,788,7514,2015-12-26,2020-12-14,1821,1815,8:55,7:7,0,2015-03-22,3,6,3,222,Good
789,Joseph Henley,789,6822,2012-09-24,2018-08-07,2138,2143,9:34,8:23,0,2012-02-09,7,9,2,243,Good
790,Violet Vaughan,790,6248,2004-03-03,2006-12-26,1032,1028,8:17,7:7,0,2003-11-12,15,17,3,204,Good
791,Alan Skursky,791,6491,2013-04-06,2015-02-19,682,684,8:3,7:42,0,2012-11-06,2,8,8,301,Good
792,Amanda Radford,792,3960,2014-07-17,2015-04-27,293,284,8:2,7:28,0,2014-06-11,1,6,3,259,Good
793,Berry Ho,793,2391,2008-08-29,2014-04-24,2064,2064,9:49,8:32,0,2008-04-11,12,13,2,247,Good
794,Tonya Dean,794,3363,2017-09-26,2019-11-24,790,789,8:36,7:32,0,2016-10-07,0,4,3,295,Good
795,Vonnie Nelson,795,4986,2010-01-10,2014-02-03,1483,1485,10:16,8:28,0,2009-10-04,10,11,2,150,Average
796,Sam Yang,796,3490,2018-06-03,2020-06-14,749,742,9:12,7:42,0,2018-03-30,2,3,3,151,Average
797,Michael Hernandez,797,7032,2002-11-25,2004-05-01,514,523,10:28,8:5,0,2002-01-12,4,19,9,291,Below Average
798,Jerome Motil,798,6221,2010-10-17,2019-06-09,3157,3157,8:57,7:37,0,2010-04-28,0,11,7,253,Average
799,Nathan Kirby,799,8441,2001-02-20,2002-10-25,610,612,10:16,7:46,0,2000-04-05,10,21,7,161,Below Average
800,Donna Hastings,800,1096,2017-11-22,2020-01-03,778,772,10:16,7:14,0,2017-11-20,2,3,2,251,Good
801,Susanna Mccarty,801,4870,2008-09-18,2015-03-18,2371,2372,9:18,7:11,1,2008-01-16,0,13,5,153,Average
802,Cynthia Kosiba,802,4382,2002-10-20,2015-12-02,4800,4791,10:34,8:50,1,2002-05-17,10,19,2,264,Good
803,Deborah Austin,803,4753,2014-07-19,2018-11-18,1581,1583,10:18,8:25,0,2014-03-07,2,7,0,310,Good
804,Peter Robinson,804,4486,2011-12-25,2013-06-26,556,549,10:11,8:8,0,2011-08-28,7,9,2,266,Good
805,Denise Chu,805,2399,2005-08-10,2006-05-29,284,292,8:30,7:56,1,2004-11-26,3,16,8,237,Average
806,Cheryl Bublitz,806,1876,2007-09-28,2020-03-23,4566,4560,9:29,7:32,1,2006-12-01,11,14,1,138,Good
807,Harvey Warner,807,6477,2007-01-17,2016-05-13,3397,3404,10:24,8:41,0,2006-04-20,10,15,7,227,Good
808,George Glaab,808,3054,2018-01-24,2018-03-24,61,59,9:2,8:7,0,2017-03-02,1,4,2,300,Good
809,Jack Kane,809,4550,2010-07-29,2021-03-09,3871,3876,9:44,8:1,1,2010-04-12,2,11,5,310,Good
810,Carlos Marble,810,8766,2004-10-17,2015-02-05,3768,3763,9:54,8:24,1,2004-03-30,13,17,0,236,Excellent
811,Larry Besse,811,7620,2017-12-28,2019-12-06,700,708,9:54,8:22,0,2017-01-08,3,4,4,288,Good
812,Frank Renninger,812,3037,2013-07-21,2014-06-02,316,316,10:1,8:22,1,2013-07-02,2,7,1,127,Average
813,Andrew Griffen,813,8702,2005-02-19,2019-01-24,5087,5087,9:13,8:7,0,2004-06-08,14,16,2,139,Average
814,Marc Mccartney,814,5502,2013-04-08,2018-10-19,2020,2020,10:15,8:45,0,2012-08-27,0,8,7,253,Average
815,Anne Coyne,815,2005,2005-08-05,2014-08-27,3305,3309,10:23,7:9,0,2005-06-25,11,15,2,218,Good
816,Lindsay Chestnut,816,2950,2008-10-13,2017-08-07,3222,3220,8:2,7:34,0,2008-02-06,3,13,7,251,Average
817,Martha Osher,817,7515,2003-08-14,2013-03-21,3506,3507,10:18,7:52,1,2002-11-20,2,18,6,264,Good
818,Josephine Morales,818,7155,2009-05-21,2019-02-01,3543,3543,9:46,8:7,1,2009-03-26,2,12,3,149,Average
819,Yvonne Sangi,819,4905,2009-05-09,2009-06-01,15,23,10:45,7:25,0,2009-04-19,2,12,10,138,Bad
820,Joseph Fellows,820,1583,2002-06-04,2003-02-06,249,247,8:2,7:5,0,2001-11-13,16,19,2,284,Good
821,Linda Le,821,6141,2003-01-19,2020-07-19,6388,6391,9:34,7:58,0,2002-08-31,3,18,8,244,Good
822,Clarence Temple,822,2175,2008-04-24,2009-08-15,480,478,9:6,8:49,0,2008-04-21,5,13,8,128,Bad
823,Alice Browning,823,8327,2017-03-30,2018-04-12,372,378,9:5,7:19,1,2016-11-09,1,4,1,154,Average
824,Jack Myers,824,8193,2015-03-14,2018-11-21,1349,1348,8:4,7:5,0,2014-12-16,0,6,8,138,Bad
825,Debbie Lackey,825,9805,2018-02-14,2020-09-09,937,938,10:58,7:23,1,2018-01-09,0,3,1,308,Excellent
826,Peter Sherrill,826,6273,2001-05-25,2009-03-15,2852,2851,8:26,7:38,0,2000-09-19,7,20,7,269,Average
827,Lloyd Espinoza,827,9024,2003-08-22,2020-05-03,6091,6099,8:15,8:29,0,2002-12-26,15,18,5,136,Below Average
828,Harry Ball,828,4563,2013-01-23,2017-03-25,1531,1522,8:58,7:4,1,2012-02-19,0,9,2,160,Average
829,Anthony Kirk,829,7394,2007-06-20,2012-09-12,1904,1911,9:6,7:48,1,2006-08-21,8,14,7,138,Bad
830,Renee Jensen,830,6605,2018-01-17,2019-03-09,418,416,8:5,7:51,1,2017-09-10,1,3,0,220,Excellent
831,Jewell Mccoy,831,7921,2018-11-06,2021-01-29,812,815,9:17,8:54,0,2018-03-09,2,3,2,274,Good
832,Tonya Fusco,832,8852,2010-06-01,2019-05-21,3276,3276,9:38,7:25,0,2009-08-21,3,11,8,161,Below Average
833,Rebecca Maloney,833,3383,2003-03-24,2004-07-01,458,465,9:58,7:42,0,2002-12-10,13,18,8,224,Good
834,Rey Stanley,834,7066,2001-10-20,2016-06-04,5341,5341,8:54,7:25,0,2001-07-09,10,19,7,260,Average
835,Marie Slaughter,835,7347,2001-10-21,2002-10-26,366,370,9:33,8:51,0,2001-02-03,1,20,8,300,Average
836,Veronica Franco,836,7908,2011-01-06,2017-05-06,2318,2312,10:22,7:6,0,2010-11-24,5,10,3,133,Average
837,Kathy Morgan,837,8830,2009-04-23,2019-04-11,3631,3640,9:59,8:25,1,2009-01-03,10,12,3,308,Good
